product_name,category,price,quantity,sold_at
Laptop Pro,Electronics,1299.99,2,2025-08-28
Wireless Mouse,Electronics,29.99,5,2025-08-28
Coffee Mug,Kitchen,12.50,3,2025-08-27
Notebook,Stationery,5.99,10,2025-08-27
Headphones,Electronics,199.99,1,2025-08-26
Laptop Pro,Electronics,1299.99,1,2025-08-25
Desk Lamp,Furniture,45.00,2,2025-08-24
Mechanical Keyboard,Electronics,89.99,1,2025-08-23
Water Bottle,Kitchen,18.99,4,2025-08-22
USB Cable,Electronics,9.99,8,2025-08-21
Monitor Stand,Furniture,35.50,2,2025-08-20
Coffee Beans,Kitchen,14.99,5,2025-08-19
Notebook Set,Stationery,15.99,3,2025-08-18
Laptop Pro,Electronics,1299.99,1,2025-08-15
Wireless Earbuds,Electronics,79.99,2,2025-08-10
Smart Watch,Electronics,299.99,1,2025-08-05
Desk Chair,Furniture,189.99,1,2025-07-30
Coffee Maker,Kitchen,59.99,1,2025-07-25
Laptop Bag,Electronics,49.99,2,2025-07-20
Mouse Pad,Electronics,12.99,5,2025-07-15